label	video	trace	time_0	time_10	time_20	time_30	time_40	time_50	time_60	time_70	time_80	time_90	time_100	time_110	time_120	time_130	time_140	time_150	time_160	time_170	time_180	time_190	time_200	time_210	time_220	time_230	time_240	time_250	time_260	time_270	time_280	time_290	time_300	time_310	time_320	time_330	time_340	time_350	time_360	time_370	time_380	time_390	time_400	time_410	time_420	time_430	time_440	time_450	time_460	time_470	time_480	time_490	time_500	time_510	time_520	time_530	time_540	time_550	time_560	time_570	time_580	time_590	time_600
X31	002001	trace_115	107.556	110.083	109.743	110.229	109.785	109.965	111.993	110.618	110.458	111.736	111.743	111.569	109.653	108.903	109.458	109.847	109.16	109.938	109.118	109.104	109.299	112.319	111.25	110.417	109.424	110.271	110.625	110.146	110.542	110.347	109.597	109.653	111.278	111.215	110.729	110.681	110.812	112.34	110.903	110.049	112.674	110.688	110.465	111.028	112.354	111.333	111.66	109.972	110.34	110.326	111.368	110.632	110.424	110.708	110.965	110.306	111.069	113.472	115.681	112.188	111.701
X31	002001	trace_116	108.132	108.986	108.812	110.368	111.861	111.847	113.146	110.792	109.917	109.34	109.674	109.201	109.41	109.188	109.076	108.41	110.076	109.146	110.104	110.528	109.389	109.278	112.868	115.188	114.917	113.507	112.083	109.826	109.875	110.312	109.035	110.34	110.181	109.326	108.875	108.618	109.243	110.139	108.861	109.146	109.049	107.771	107.5	107.84	107.194	108.826	108.792	109.576	108.514	109.722	109.833	111.764	111.257	109.278	110.972	109.986	110.521	111.951	111.139	109.014	109.139
X31	002001	trace_117	107.062	108.792	108.479	107.569	108.576	108.007	108.25	108.917	109.326	107.847	108.646	109.806	108.597	108.514	110.222	109.361	109.194	111.361	111.354	111.965	111.181	109.146	111.868	109.854	108.611	109.562	108.111	108.215	107.66	108.111	108.667	108.729	109.611	109.458	109.354	109.847	110.118	109.562	110.125	109.75	108.507	108.521	108.868	109.458	109.396	109.062	110.75	109.583	110.319	109.299	108.5	109.042	109.153	108.979	110.125	109.132	109.528	109.618	109.667	109.938	111.062
X31	002001	trace_118	106.257	107.451	107.167	107.285	106.035	107.653	107.632	106.799	106.778	107.826	108.326	106.91	107.889	108.597	106.896	108.368	107.958	107.257	107.389	108.417	109.25	107.382	107.826	108.201	107.549	107.972	107.597	107.264	107.312	107.458	107.806	107.806	108.417	109.618	107.569	106.688	108.451	107.472	107.611	107.979	107.674	108.194	107.715	107.146	108.306	108.278	108.896	108.576	108.514	108.049	107.667	107.549	107.826	108.222	107.715	107.951	107.625	107.951	108.007	108.368	108.576
X31	002001	trace_119	107.403	107.875	108.062	106.854	108.243	107.528	107.868	108.438	108.194	108.701	108.292	108.938	109.354	108.5	108.604	108.521	108.076	108.125	108.375	109.257	109.257	109.243	108.903	110.868	109.757	108.41	110.083	108.625	109.771	109.104	109.167	109.34	108.764	108.549	108.569	109.493	108.66	108.736	108.556	109.09	108.465	109.743	109.479	108.785	109.583	110.056	110.076	110.354	110.201	110.431	110.319	110.25	110.042	108.354	108.66	109.16	109.729	108.417	109.097	108.181	109.91
X31	002001	trace_120	108.535	109.979	110.722	109.681	111.278	111.688	112.507	111.958	112.167	112.299	111.576	112.014	113.75	114.014	113.799	116.306	115.396	115.292	115.514	113.889	112.493	113.972	113.792	114.958	115.229	115.333	113.125	112.146	114.542	116.569	114.681	115.035	113.167	113.181	112.444	111.993	114.604	114.812	115.917	115.938	117.229	115.396	113.118	113.875	115.493	114.993	114.271	115.257	114.583	114.569	113.0	112.847	114.243	111.958	113.09	114.812	113.819	114.917	114.715	114.062	114.979
X31	002001	trace_121	106.722	107.431	107.826	107.59	107.486	107.674	107.708	107.757	106.854	106.889	107.306	107.083	108.722	109.451	108.292	107.382	107.271	107.16	107.66	108.625	109.021	106.938	107.868	107.576	107.792	107.215	108.764	108.444	107.118	108.507	107.764	107.632	107.576	107.222	107.868	108.549	108.444	107.646	108.194	106.875	108.854	107.597	108.076	108.396	107.653	106.174	107.583	107.243	109.104	109.889	109.069	107.222	109.042	108.146	109.16	109.333	108.771	109.222	107.535	107.722	107.243
X31	002001	trace_122	107.424	106.194	107.34	108.028	107.465	107.299	107.118	106.583	108.271	107.556	108.479	107.0	107.757	108.167	107.556	108.965	107.694	107.799	108.056	106.465	107.382	107.674	107.979	108.132	108.139	107.861	108.285	107.91	108.312	107.5	109.167	107.91	108.583	109.66	110.146	109.368	109.604	108.701	108.347	108.097	107.264	107.681	107.715	107.007	107.16	107.576	108.125	108.688	107.951	108.382	108.396	108.271	107.618	107.451	107.701	108.389	107.75	108.396	108.118	107.688	107.868
X31	002001	trace_123	109.257	109.757	109.792	109.056	109.132	109.458	109.993	109.062	109.09	108.944	110.125	109.708	110.653	109.972	110.153	109.125	109.938	110.257	109.576	111.125	109.083	109.028	108.861	108.979	110.319	109.896	110.208	110.535	109.743	110.007	110.104	109.639	110.417	108.799	109.819	109.417	110.951	109.493	109.625	109.215	109.069	109.951	110.507	108.993	109.951	109.222	109.062	109.382	109.889	109.188	110.208	108.806	108.507	109.694	108.938	109.625	109.257	109.562	109.965	108.764	109.875
X31	002001	trace_124	106.965	105.993	106.618	107.792	107.458	107.507	107.542	106.743	107.861	107.285	107.861	107.681	107.75	107.34	106.59	107.201	108.299	108.458	108.153	107.958	107.097	106.306	107.965	108.097	108.125	108.438	108.625	108.396	108.007	108.389	108.833	108.354	107.944	107.993	106.903	107.84	109.549	108.146	108.528	108.104	108.208	108.896	108.458	108.75	109.444	108.507	108.028	108.486	108.174	108.625	109.688	108.938	109.465	108.507	108.062	108.118	108.458	108.375	107.681	108.438	109.083
